numBlocks,percentage,numCappReceivers,numDepositAddresses,numFalsePositives
17280,0.3,1025,1972719,9
17280,0.35,1006,1954812,9
17280,0.4,985,1661912,7
17280,0.45,959,1550836,7
8640,0.15,972,2285215,12
25920,0.25,1165,2307434,10
25920,0.35,1101,2009747,9
25920,0.5,1028,1566884,4
34560,0.25,1242,2399968,12
34560,0.35,1178,2091599,10
34560,0.5,1099,1640299,4
43200,0.25,1308,2474527,12
43200,0.35,1247,2223474,12
43200,0.5,1158,1693346,4
4320,0.6,674,1146686,4
4320,0.7,600,1043151,3
180,0.1,455,1532247,10
180,0.2,398,1273279,8
180,0.25,382,1248557,8
180,0.33,351,944320,6
180,0.5,298,787820,3
180,0.75,179,516069,2
360,0.1,598,1667921,11
360,0.2,547,1445537,9
360,0.25,530,1389250,8
360,0.33,497,1077596,6
360,0.5,412,947452,3
360,0.75,245,612701,2
4320,0.1,897,2458360,29
4320,0.2,845,1910266,9
4320,0.25,814,1774657,9
4320,0.33,795,1674272,9
4320,0.5,717,1265400,4
4320,0.75,547,968995,3
8640,0.1,992,2538414,32
8640,0.2,945,2068921,9
8640,0.25,906,1900250,9
8640,0.33,876,1831329,9
8640,0.5,807,1368353,4
8640,0.75,619,1102183,4
17280,0.1,1128,2694067,33
17280,0.2,1086,2335392,11
17280,0.25,1053,2133660,10
17280,0.33,1012,1960960,9
17280,0.5,930,1486726,4
17280,0.75,724,1168980,4
60480,0.1,1467,3005551,37
60480,0.2,1425,2720701,24
60480,0.25,1398,2626143,12
60480,0.33,1349,2427444,12
60480,0.5,1245,1852817,7
60480,0.75,1019,1444845,4
