numBlocks,percentage,numCappReceivers,numDepositAddresses,numFalsePositives,fps
180,0.1,455,1532247,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.25,382,1248557,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.2,398,1273279,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.33,351,944320,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
180,0.4,326,909294,1,0xbbc79794599b19274850492394004087cbf89710
180,0.45,315,877004,1,0xbbc79794599b19274850492394004087cbf89710
180,0.6,256,707532,1,0xbbc79794599b19274850492394004087cbf89710
180,0.75,179,516069,0,
180,0.5,298,787820,1,0xbbc79794599b19274850492394004087cbf89710
360,0.1,598,1667921,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.2,547,1445537,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.25,530,1389250,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.33,497,1077596,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
360,0.4,461,1014740,1,0xbbc79794599b19274850492394004087cbf89710
360,0.45,429,972263,1,0xbbc79794599b19274850492394004087cbf89710
360,0.6,350,858110,1,0xbbc79794599b19274850492394004087cbf89710
360,0.75,245,612701,0,
360,0.5,412,947452,1,0xbbc79794599b19274850492394004087cbf89710
4320,0.1,897,2458360,4,0xcf7787ca25010d3dbfa2ccc32ea58d2160290ef4|0xbbc79794599b19274850492394004087cbf89710|0xabe3d12e5518bf8266bb91b56913962ce1f77cf4|0xc0c07641a65ad6f9244e8d9056c131eceafa38f9
